date,batch_id,timestamp,consumption,power_spike,power_drop,high_pf,low_pf,batch_status,production,anomaly_count,anomaly_intensity
01-01-2025,0,01-01-2025 00:00,1024.001392,2,3,0,2,1,1000,7,2
01-01-2025,1,01-01-2025 01:00,1038.522937,4,1,1,2,1,1000,8,11
01-01-2025,2,01-01-2025 02:00,1037.648745,2,1,1,4,1,1000,8,11
01-01-2025,3,01-01-2025 03:00,1034.976817,5,2,1,1,1,1000,9,9
01-01-2025,4,01-01-2025 04:00,1024.92942,1,1,2,0,1,1000,4,2
01-01-2025,5,01-01-2025 05:00,1026.855899,0,1,1,3,1,1000,5,5
01-01-2025,6,01-01-2025 06:00,1030.877338,0,2,1,4,1,1000,7,5
01-01-2025,7,01-01-2025 07:00,1022.463802,2,4,0,3,1,1000,9,2
01-01-2025,8,01-01-2025 08:00,1031.004182,1,1,3,1,1,1000,6,5
01-01-2025,9,01-01-2025 09:00,1040.348031,3,1,2,3,1,1000,9,12
01-01-2025,10,01-01-2025 10:00,1019.285429,2,4,0,3,1,1000,9,2
01-01-2025,11,01-01-2025 11:00,1027.573314,2,2,1,2,1,1000,7,5
01-01-2025,12,01-01-2025 12:00,1020.050047,3,2,0,1,1,1000,6,4
01-01-2025,13,01-01-2025 13:00,1021.506882,5,4,0,1,1,1000,10,4
01-01-2025,14,01-01-2025 14:00,1032.631528,2,0,2,1,1,1000,5,8
01-01-2025,15,01-01-2025 15:00,1025.613001,1,2,0,3,1,1000,6,4
01-01-2025,16,01-01-2025 16:00,1026.190669,2,4,0,4,1,1000,10,4
01-01-2025,17,01-01-2025 17:00,1024.239929,2,2,0,2,1,1000,6,4
01-01-2025,18,01-01-2025 18:00,1014.970305,4,4,0,0,1,1000,8,0
01-01-2025,19,01-01-2025 19:00,1018.387595,2,3,0,2,1,1000,7,2
01-01-2025,20,01-01-2025 20:00,1035.953856,2,3,2,3,1,1000,10,6
01-01-2025,21,01-01-2025 21:00,1038.522824,4,0,1,1,1,1000,6,11
01-01-2025,22,01-01-2025 22:00,1028.843506,3,3,2,1,1,1000,9,4
01-01-2025,23,01-01-2025 23:00,1022.521004,2,3,0,1,1,1000,6,0
02-01-2025,0,02-01-2025 00:00,1034.964054,3,0,0,3,1,1000,6,12
02-01-2025,1,02-01-2025 01:00,1022.930644,0,3,1,3,1,1000,7,1
02-01-2025,2,02-01-2025 02:00,1033.42264,4,0,1,0,1,1000,5,9
02-01-2025,3,02-01-2025 03:00,1036.210687,2,0,1,3,1,1000,6,11
02-01-2025,4,02-01-2025 04:00,1046.279125,3,1,2,3,1,1000,9,12
02-01-2025,5,02-01-2025 05:00,1041.215879,4,1,0,4,1,1000,9,14
02-01-2025,6,02-01-2025 06:00,1030.538967,2,2,2,1,1,1000,7,4
02-01-2025,7,02-01-2025 07:00,1016.047601,1,2,0,1,1,1000,4,0
02-01-2025,8,02-01-2025 08:00,1010.710285,2,4,0,0,1,1000,6,-4
02-01-2025,9,02-01-2025 09:00,1041.074546,3,1,1,3,1,1000,8,11
02-01-2025,10,02-01-2025 10:00,1021.825492,1,2,2,0,1,1000,5,0
02-01-2025,11,02-01-2025 11:00,1033.613314,3,0,0,1,1,1000,4,8
02-01-2025,12,02-01-2025 12:00,1032.36551,5,1,1,0,1,1000,7,9
02-01-2025,13,02-01-2025 13:00,1009.115751,1,5,0,1,1,1000,7,-6
02-01-2025,14,02-01-2025 14:00,1026.137828,3,1,0,0,1,1000,4,4
02-01-2025,15,02-01-2025 15:00,1026.00305,2,1,0,2,1,1000,5,6
02-01-2025,16,02-01-2025 16:00,1025.040543,4,3,1,0,1,1000,8,3
02-01-2025,17,02-01-2025 17:00,1022.270246,1,1,0,1,1,1000,3,2
02-01-2025,18,02-01-2025 18:00,1022.623993,1,1,1,0,1,1000,3,1
02-01-2025,19,02-01-2025 19:00,1029.968588,4,3,1,2,1,1000,10,7
02-01-2025,20,02-01-2025 20:00,1041.397194,4,2,1,2,1,1000,9,9
02-01-2025,21,02-01-2025 21:00,1035.128711,3,0,0,3,1,1000,6,12
02-01-2025,22,02-01-2025 22:00,1027.589259,1,1,0,3,1,1000,5,6
02-01-2025,23,02-01-2025 23:00,1024.078996,0,2,3,1,1,1000,6,1
03-01-2025,0,03-01-2025 00:00,1021.97377,1,3,0,3,1,1000,7,2
