ID,Hours,Machine ID,Department,MSEB Zone,KWH Reading,Consumption,P#F,Parts produced,Molten Metal,Batch ID,Cost of Energy,KWH_Tonne,KWH_part,Date
1801,0,COM2,Utilities,Zone A,1140,13,0.94,45,0,0,₹ 65.00,0,0.2888888889,30-Jul-24
1812,11,COM2,Utilities,Zone C,1289,13,0.94,55,0,0,₹ 117.00,0,0.2363636364,30-Jul-24
1818,17,COM2,Utilities,Zone B,1374,12,0.94,45,0,0,₹ 84.00,0,0.2666666667,30-Jul-24
1823,22,COM2,Utilities,Zone A,1447,16,0.94,59,0,0,₹ 80.00,0,0.2711864407,30-Jul-24
1825,0,COM2,Utilities,Zone A,1475,12,0.94,55,0,0,₹ 60.00,0,0.2181818182,31-Jul-24
1829,4,COM2,Utilities,Zone A,1535,16,0.94,54,0,0,₹ 80.00,0,0.2962962963,31-Jul-24
1832,7,COM2,Utilities,Zone B,1578,12,0.94,50,0,0,₹ 84.00,0,0.24,31-Jul-24
1835,10,COM2,Utilities,Zone C,1619,12,0.94,50,0,0,₹ 108.00,0,0.24,31-Jul-24
1837,12,COM2,Utilities,Zone B,1648,16,0.94,54,0,0,₹ 112.00,0,0.2962962963,31-Jul-24
1839,14,COM2,Utilities,Zone B,1679,16,0.94,51,0,0,₹ 112.00,0,0.3137254902,31-Jul-24
1840,15,COM2,Utilities,Zone B,1693,14,0.94,47,0,0,₹ 98.00,0,0.2978723404,31-Jul-24
1841,16,COM2,Utilities,Zone B,1706,13,0.94,46,0,0,₹ 91.00,0,0.2826086957,31-Jul-24
1843,18,COM2,Utilities,Zone D,1733,15,0.94,54,0,0,₹ 165.00,0,0.2777777778,31-Jul-24
1848,23,COM2,Utilities,Zone A,1803,15,0.94,50,0,0,₹ 75.00,0,0.3,31-Jul-24
1850,1,COM2,Utilities,Zone A,1832,13,0.94,56,0,0,₹ 65.00,0,0.2321428571,1-Aug-24
1853,4,COM2,Utilities,Zone A,1872,13,0.94,58,0,0,₹ 65.00,0,0.224137931,1-Aug-24
1857,8,COM2,Utilities,Zone B,1935,16,0.94,59,0,0,₹ 112.00,0,0.2711864407,1-Aug-24
1861,12,COM2,Utilities,Zone B,1994,16,0.94,46,0,0,₹ 112.00,0,0.347826087,1-Aug-24
1866,17,COM2,Utilities,Zone B,2063,15,0.94,58,0,0,₹ 105.00,0,0.2586206897,1-Aug-24
1867,18,COM2,Utilities,Zone D,2076,13,0.94,56,0,0,₹ 143.00,0,0.2321428571,1-Aug-24
1869,20,COM2,Utilities,Zone D,2106,16,0.94,45,0,0,₹ 176.00,0,0.3555555556,1-Aug-24
1880,7,COM2,Utilities,Zone B,2259,14,0.94,59,0,0,₹ 98.00,0,0.2372881356,2-Aug-24
1884,11,COM2,Utilities,Zone C,2317,14,0.94,56,0,0,₹ 126.00,0,0.25,2-Aug-24
1889,16,COM2,Utilities,Zone B,2389,16,0.94,48,0,0,₹ 112.00,0,0.3333333333,2-Aug-24
1894,21,COM2,Utilities,Zone D,2462,14,0.94,48,0,0,₹ 154.00,0,0.2916666667,2-Aug-24
1898,1,COM2,Utilities,Zone A,2513,13,0.94,50,0,0,₹ 65.00,0,0.26,3-Aug-24
1899,2,COM2,Utilities,Zone A,2526,13,0.94,51,0,0,₹ 65.00,0,0.2549019608,3-Aug-24
1900,3,COM2,Utilities,Zone A,2538,12,0.94,50,0,0,₹ 60.00,0,0.24,3-Aug-24
1903,6,COM2,Utilities,Zone B,2577,14,0.94,46,0,0,₹ 98.00,0,0.3043478261,3-Aug-24
1914,17,COM2,Utilities,Zone B,2724,12,0.94,53,0,0,₹ 84.00,0,0.2264150943,3-Aug-24
1915,18,COM2,Utilities,Zone D,2736,12,0.94,60,0,0,₹ 132.00,0,0.2,3-Aug-24
1916,19,COM2,Utilities,Zone D,2751,15,0.94,53,0,0,₹ 165.00,0,0.2830188679,3-Aug-24
1920,23,COM2,Utilities,Zone A,2800,12,0.94,52,0,0,₹ 60.00,0,0.2307692308,3-Aug-24
1926,5,COM2,Utilities,Zone A,2884,12,0.94,55,0,0,₹ 60.00,0,0.2181818182,4-Aug-24
1931,10,COM2,Utilities,Zone C,2952,15,0.94,47,0,0,₹ 135.00,0,0.3191489362,4-Aug-24
1933,12,COM2,Utilities,Zone B,2980,14,0.94,58,0,0,₹ 98.00,0,0.2413793103,4-Aug-24
1938,17,COM2,Utilities,Zone B,3050,14,0.94,51,0,0,₹ 98.00,0,0.2745098039,4-Aug-24
1939,18,COM2,Utilities,Zone D,3065,15,0.94,58,0,0,₹ 165.00,0,0.2586206897,4-Aug-24
1940,19,COM2,Utilities,Zone D,3081,16,0.94,52,0,0,₹ 176.00,0,0.3076923077,4-Aug-24
1945,0,COM2,Utilities,Zone A,3146,12,0.94,48,0,0,₹ 60.00,0,0.25,5-Aug-24
1947,2,COM2,Utilities,Zone A,3172,14,0.94,52,0,0,₹ 70.00,0,0.2692307692,5-Aug-24
1948,3,COM2,Utilities,Zone A,3184,12,0.94,46,0,0,₹ 60.00,0,0.2608695652,5-Aug-24
1951,6,COM2,Utilities,Zone B,3224,13,0.94,45,0,0,₹ 91.00,0,0.2888888889,5-Aug-24
1958,13,COM2,Utilities,Zone B,3318,13,0.94,49,0,0,₹ 91.00,0,0.2653061224,5-Aug-24
1972,3,COM2,Utilities,Zone A,3525,14,0.94,54,0,0,₹ 70.00,0,0.2592592593,6-Aug-24
