date,batch_id,timestamp,energy_reading_pm,power_spike,power_drop,high_pf,low_pf,batch_status,production,anomaly_count,anomaly_intensity
2025-01-01,0,2025-01-01 00:00:00,1024.001391663,2,3,0,2,1,1000,7,2.0
2025-01-01,1,2025-01-01 01:00:00,1038.522937215,4,1,1,2,1,1000,8,11.0
2025-01-01,10,2025-01-01 10:00:00,1019.285428786,2,4,0,3,1,1000,9,2.0
2025-01-01,11,2025-01-01 11:00:00,1027.573314419,2,2,1,2,1,1000,7,5.0
2025-01-01,12,2025-01-01 12:00:00,1020.050046522,3,2,0,1,1,1000,6,4.0
2025-01-01,13,2025-01-01 13:00:00,1021.506881902,5,4,0,1,1,1000,10,4.0
2025-01-01,14,2025-01-01 14:00:00,1032.631528458,2,0,2,1,1,1000,5,8.0
2025-01-01,15,2025-01-01 15:00:00,1025.613000583,1,2,0,3,1,1000,6,4.0
2025-01-01,16,2025-01-01 16:00:00,1026.190669321,2,4,0,4,1,1000,10,4.0
2025-01-01,17,2025-01-01 17:00:00,1024.239929198,2,2,0,2,1,1000,6,4.0
2025-01-01,18,2025-01-01 18:00:00,1014.970304797,4,4,0,0,1,1000,8,0.0
2025-01-01,19,2025-01-01 19:00:00,1018.38759477,2,3,0,2,1,1000,7,2.0
2025-01-01,2,2025-01-01 02:00:00,1037.64874472,2,1,1,4,1,1000,8,11.0
2025-01-01,20,2025-01-01 20:00:00,1035.953855981,2,3,2,3,1,1000,10,6.0
2025-01-01,21,2025-01-01 21:00:00,1038.522823862,4,0,1,1,1,1000,6,11.0
2025-01-01,22,2025-01-01 22:00:00,1028.8435063,3,3,2,1,1,1000,9,4.0
2025-01-01,23,2025-01-01 23:00:00,1022.521003815,2,3,0,1,1,1000,6,0.0
2025-01-01,3,2025-01-01 03:00:00,1034.976817055,5,2,1,1,1,1000,9,9.0
2025-01-01,4,2025-01-01 04:00:00,1024.929419741,1,1,2,0,1,1000,4,2.0
2025-01-01,5,2025-01-01 05:00:00,1026.855898608,0,1,1,3,1,1000,5,5.0
2025-01-01,6,2025-01-01 06:00:00,1030.877338315,0,2,1,4,1,1000,7,5.0
2025-01-01,7,2025-01-01 07:00:00,1022.463802301,2,4,0,3,1,1000,9,2.0
2025-01-01,8,2025-01-01 08:00:00,1031.004181864,1,1,3,1,1,1000,6,5.0
2025-01-01,9,2025-01-01 09:00:00,1040.34803077,3,1,2,3,1,1000,9,12.0
2025-01-02,0,2025-01-02 00:00:00,1034.964053533,3,0,0,3,1,1000,6,12.0
2025-01-02,1,2025-01-02 01:00:00,1022.930643605,0,3,1,3,1,1000,7,1.0
2025-01-02,10,2025-01-02 10:00:00,1021.825492027,1,2,2,0,1,1000,5,0.0
2025-01-02,11,2025-01-02 11:00:00,1033.613314329,3,0,0,1,1,1000,4,8.0
2025-01-02,12,2025-01-02 12:00:00,1032.365509688,5,1,1,0,1,1000,7,9.0
2025-01-02,13,2025-01-02 13:00:00,1009.115751083,1,5,0,1,1,1000,7,-6.0
2025-01-02,14,2025-01-02 14:00:00,1026.1378279580001,3,1,0,0,1,1000,4,4.0
2025-01-02,15,2025-01-02 15:00:00,1026.003049572,2,1,0,2,1,1000,5,6.0
2025-01-02,16,2025-01-02 16:00:00,1025.040543267,4,3,1,0,1,1000,8,3.0
2025-01-02,17,2025-01-02 17:00:00,1022.27024576,1,1,0,1,1,1000,3,2.0
2025-01-02,18,2025-01-02 18:00:00,1022.623992738,1,1,1,0,1,1000,3,1.0
2025-01-02,19,2025-01-02 19:00:00,1029.968587545,4,3,1,2,1,1000,10,7.0
2025-01-02,2,2025-01-02 02:00:00,1033.42263993,4,0,1,0,1,1000,5,9.0
2025-01-02,20,2025-01-02 20:00:00,1041.397194071,4,2,1,2,1,1000,9,9.0
2025-01-02,21,2025-01-02 21:00:00,1035.12871121,3,0,0,3,1,1000,6,12.0
2025-01-02,22,2025-01-02 22:00:00,1027.589258913,1,1,0,3,1,1000,5,6.0
2025-01-02,23,2025-01-02 23:00:00,1024.0789963080001,0,2,3,1,1,1000,6,1.0
2025-01-02,3,2025-01-02 03:00:00,1036.2106873769999,2,0,1,3,1,1000,6,11.0
2025-01-02,4,2025-01-02 04:00:00,1046.279125383,3,1,2,3,1,1000,9,12.0
2025-01-02,5,2025-01-02 05:00:00,1041.215879366,4,1,0,4,1,1000,9,14.0
2025-01-02,6,2025-01-02 06:00:00,1030.538966567,2,2,2,1,1,1000,7,4.0
2025-01-02,7,2025-01-02 07:00:00,1016.047601134,1,2,0,1,1,1000,4,0.0
2025-01-02,8,2025-01-02 08:00:00,1010.7102853380001,2,4,0,0,1,1000,6,-4.0
2025-01-02,9,2025-01-02 09:00:00,1041.074546183,3,1,1,3,1,1000,8,11.0
2025-01-03,0,2025-01-03 00:00:00,1021.973769937,1,3,0,3,1,1000,7,2.0
2025-01-03,1,2025-01-03 01:00:00,1036.757183452,4,2,2,2,1,1000,10,10.0
2025-01-03,10,2025-01-03 10:00:00,1017.905765833,1,2,0,1,1,1000,4,0.0
2025-01-03,11,2025-01-03 11:00:00,1036.262601349,4,1,2,1,1,1000,8,10.0
2025-01-03,12,2025-01-03 12:00:00,1017.398651875,0,3,0,2,1,1000,5,-2.0
2025-01-03,13,2025-01-03 13:00:00,1019.319576723,3,2,0,0,1,1000,5,2.0
2025-01-03,14,2025-01-03 14:00:00,1021.208996629,2,5,0,6,1,1000,13,6.0
2025-01-03,15,2025-01-03 15:00:00,1035.452580152,5,4,0,3,1,1000,12,8.0
2025-01-03,16,2025-01-03 16:00:00,1022.653370447,4,3,0,1,1,1000,8,4.0
2025-01-03,17,2025-01-03 17:00:00,1015.824003445,3,4,0,0,1,1000,7,-2.0
2025-01-03,18,2025-01-03 18:00:00,1016.539831379,1,3,0,2,1,1000,6,0.0
2025-01-03,19,2025-01-03 19:00:00,1017.713561015,2,2,0,1,1,1000,5,2.0
2025-01-03,2,2025-01-03 02:00:00,1029.869712099,1,2,3,1,1,1000,7,3.0
2025-01-03,20,2025-01-03 20:00:00,1034.777312557,4,1,1,1,1,1000,7,9.0
2025-01-03,21,2025-01-03 21:00:00,1042.71244388,5,1,1,2,1,1000,9,13.0
2025-01-03,22,2025-01-03 22:00:00,1025.156953721,3,3,1,1,1,1000,8,3.0
2025-01-03,23,2025-01-03 23:00:00,1003.892600232,0,4,0,0,1,1000,4,-8.0
2025-01-03,3,2025-01-03 03:00:00,1017.788356804,1,3,0,2,1,1000,6,0.0
2025-01-03,4,2025-01-03 04:00:00,1031.071335955,4,1,1,1,1,1000,7,9.0
2025-01-03,5,2025-01-03 05:00:00,1017.657470791,2,4,0,2,1,1000,8,0.0
2025-01-03,6,2025-01-03 06:00:00,1027.777291964,2,4,1,5,1,1000,12,7.0
2025-01-03,7,2025-01-03 07:00:00,1028.9497985780001,5,3,0,1,1,1000,9,6.0
2025-01-03,8,2025-01-03 08:00:00,1021.540809819,3,4,1,2,1,1000,10,3.0
2025-01-03,9,2025-01-03 09:00:00,1031.0691224,1,2,1,3,1,1000,7,5.0
2025-01-04,0,2025-01-04 00:00:00,80.954953878,0,0,0,0,0,0,0,0.0
2025-01-04,1,2025-01-04 01:00:00,81.531005602,0,0,0,0,0,0,0,0.0
2025-01-04,10,2025-01-04 10:00:00,1026.268957578,3,1,0,1,1,1000,5,6.0
2025-01-04,11,2025-01-04 11:00:00,1026.346106128,1,2,2,1,1,1000,6,2.0
2025-01-04,12,2025-01-04 12:00:00,1020.596921461,2,3,0,2,1,1000,7,2.0
2025-01-04,13,2025-01-04 13:00:00,1028.428737793,3,2,1,1,1,1000,7,5.0
2025-01-04,14,2025-01-04 14:00:00,1021.30620071,1,2,0,1,1,1000,4,0.0
2025-01-04,15,2025-01-04 15:00:00,1017.703654008,3,2,0,0,1,1000,5,2.0
2025-01-04,16,2025-01-04 16:00:00,1024.63468111,2,1,1,1,1,1000,5,5.0
2025-01-04,17,2025-01-04 17:00:00,1018.111153205,2,1,0,0,1,1000,3,2.0
2025-01-04,18,2025-01-04 18:00:00,1020.116411074,3,2,0,0,1,1000,5,2.0
2025-01-04,19,2025-01-04 19:00:00,1045.4562106390001,7,1,1,1,1,1000,10,15.0
2025-01-04,2,2025-01-04 02:00:00,85.819609433,0,0,0,0,0,0,0,0.0
2025-01-04,20,2025-01-04 20:00:00,83.752492512,0,0,0,0,0,0,0,0.0
2025-01-04,21,2025-01-04 21:00:00,85.203424447,0,0,0,0,0,0,0,0.0
2025-01-04,22,2025-01-04 22:00:00,82.280822273,0,0,0,0,0,0,0,0.0
2025-01-04,23,2025-01-04 23:00:00,82.598814749,0,0,0,0,0,0,0,0.0
2025-01-04,3,2025-01-04 03:00:00,84.313847622,0,0,0,0,0,0,0,0.0
2025-01-04,4,2025-01-04 04:00:00,85.638980937,0,0,0,0,0,0,0,0.0
2025-01-04,5,2025-01-04 05:00:00,83.80954288,0,0,0,0,0,0,0,0.0
2025-01-04,6,2025-01-04 06:00:00,83.463643871,0,0,0,0,0,0,0,0.0
2025-01-04,7,2025-01-04 07:00:00,84.911968713,0,0,0,0,0,0,0,0.0
